
2024/11/28 (15:12:24) | ===> btop++ v.1.4.0
2024/11/28 (15:12:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (15:12:39) | ===> btop++ v.1.4.0
2024/11/28 (15:12:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (15:12:48) | ===> btop++ v.1.4.0
2024/11/28 (15:12:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (15:23:36) | ===> btop++ v.1.4.0
2024/11/28 (15:23:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (15:26:45) | ===> btop++ v.1.4.0
2024/11/28 (15:26:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (15:27:49) | ===> btop++ v.1.4.0
2024/11/28 (15:27:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (15:30:33) | ===> btop++ v.1.4.0
2024/11/28 (15:30:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (15:41:27) | ===> btop++ v.1.4.0
2024/11/28 (15:41:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (16:30:49) | ===> btop++ v.1.4.0
2024/11/28 (16:30:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (18:45:31) | ===> btop++ v.1.4.0
2024/11/28 (18:45:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (21:17:01) | ===> btop++ v.1.4.0
2024/11/28 (21:17:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (21:21:00) | ===> btop++ v.1.4.0
2024/11/28 (21:21:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (23:14:09) | ===> btop++ v.1.4.0
2024/11/28 (23:14:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (23:17:03) | ===> btop++ v.1.4.0
2024/11/28 (23:17:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (12:37:10) | ===> btop++ v.1.4.0
2024/11/29 (12:37:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (12:44:09) | ===> btop++ v.1.4.0
2024/11/29 (12:44:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (13:39:19) | ===> btop++ v.1.4.0
2024/11/29 (13:39:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (14:38:58) | ===> btop++ v.1.4.0
2024/11/29 (14:38:58) | WARNING: Intel GPU: Failed to initialize PMU
